date,index,nav,outstanding
"Jul 30, 2018",5522.81,281.78,540950000.00
"Jul 27, 2018",5554.31,283.38,541800000.00
"Jul 26, 2018",5590.99,285.26,541350000.00
"Jul 25, 2018",5607.99,286.12,541400000.00
"Jul 24, 2018",5557.37,283.54,541300000.00
"Jul 23, 2018",5530.66,282.18,541550000.00
"Jul 20, 2018",5520.50,281.66,542250000.00
"Jul 19, 2018",5525.51,281.92,544350000.00
"Jul 18, 2018",5546.86,283.01,543100000.00
"Jul 17, 2018",5534.91,282.40,543100000.00
"Jul 16, 2018",5512.92,281.28,543100000.00
"Jul 13, 2018",5518.33,281.55,543650000.00
"Jul 12, 2018",5512.36,281.25,543750000.00
"Jul 11, 2018",5464.01,278.78,542900000.00
"Jul 10, 2018",5503.05,280.78,544050000.00
"Jul 09, 2018",5483.89,279.80,544500000.00
"Jul 06, 2018",5434.36,277.27,544800000.00
"Jul 05, 2018",5388.28,274.92,544600000.00
"Jul 03, 2018",5340.93,272.51,543650000.00
"Jul 02, 2018",5367.49,273.86,543700000.00
"Jun 29, 2018",5350.83,273.01,543100000.00
"Jun 28, 2018",5346.44,272.79,543100000.00
"Jun 27, 2018",5312.89,271.08,543050000.00
"Jun 26, 2018",5359.01,273.43,543000000.00
"Jun 25, 2018",5347.23,274.11,542750000.00
"Jun 22, 2018",5421.63,277.92,542750000.00
"Jun 21, 2018",5411.40,277.39,542750000.00
"Jun 20, 2018",5445.43,279.14,545350000.00
"Jun 19, 2018",5436.13,278.66,545150000.00
"Jun 18, 2018",5457.83,279.78,544500000.00
"Jun 15, 2018",5469.37,280.37,544450000.00
"Jun 14, 2018",5474.37,280.62,544850000.00
"Jun 13, 2018",5459.21,279.85,544250000.00
"Jun 12, 2018",5481.07,280.97,544800000.00
"Jun 11, 2018",5471.29,280.47,555150000.00
"Jun 08, 2018",5465.42,280.17,554850000.00
"Jun 07, 2018",5448.18,279.28,554500000.00
"Jun 06, 2018",5451.09,279.43,554350000.00
"Jun 05, 2018",5404.62,277.05,554350000.00
"Jun 04, 2018",5400.50,276.84,553500000.00
"Jun 01, 2018",5376.29,275.60,555800000.00
"May 31, 2018",5318.10,272.62,556150000.00
"May 30, 2018",5353.76,274.45,555300000.00
"May 29, 2018",5285.70,270.96,555700000.00
"May 25, 2018",5347.31,274.12,555700000.00
"May 24, 2018",5359.32,274.73,554600000.00
"May 23, 2018",5369.99,275.28,554150000.00
"May 22, 2018",5352.45,274.38,553500000.00
"May 21, 2018",5369.19,275.24,552900000.00
"May 18, 2018",5329.66,273.22,552650000.00
"May 17, 2018",5343.29,273.91,552450000.00
"May 16, 2018",5346.33,274.07,552500000.00
"May 15, 2018",5323.23,272.89,552100000.00
"May 14, 2018",5359.66,274.76,552650000.00
"May 11, 2018",5354.69,274.50,552600000.00
"May 10, 2018",5343.70,273.94,552700000.00
"May 09, 2018",5292.90,271.33,552550000.00
"May 08, 2018",5241.53,268.70,546850000.00
"May 07, 2018",5242.87,268.77,545800000.00
"May 04, 2018",5224.71,267.84,545900000.00
"May 03, 2018",5157.70,264.40,533000000.00
"May 02, 2018",5168.79,264.97,536050000.00
"May 01, 2018",5206.31,266.90,534800000.00
"Apr 30, 2018",5193.04,266.22,535800000.00
"Apr 27, 2018",5235.73,268.41,535700000.00
"Apr 26, 2018",5229.61,268.09,535550000.00
"Apr 25, 2018",5175.59,265.32,534700000.00
"Apr 24, 2018",5166.10,264.84,535450000.00
"Apr 23, 2018",5236.04,268.42,528600000.00
"Apr 20, 2018",5235.75,268.41,528650000.00
"Apr 19, 2018",5280.57,270.71,528650000.00
"Apr 18, 2018",5310.32,272.23,527900000.00
"Apr 17, 2018",5305.90,272.01,527650000.00
"Apr 16, 2018",5249.94,269.14,527900000.00
"Apr 13, 2018",5207.57,266.97,528400000.00
"Apr 12, 2018",5222.55,267.73,528300000.00
"Apr 11, 2018",5179.19,265.51,528800000.00
"Apr 10, 2018",5207.73,266.97,531700000.00
"Apr 09, 2018",5121.90,262.58,530800000.00
"Apr 06, 2018",5103.35,261.63,530350000.00
"Apr 05, 2018",5217.62,267.48,530350000.00
"Apr 04, 2018",5181.31,265.62,529850000.00
"Apr 03, 2018",5121.70,262.57,529950000.00
